billboard_position,song_name,artist,year,genre,genres,song_popularity,song_type
13,Stutter,Mystikal,2001,crunk,"['crunk', 'dirty south rap', 'gangster rap', 'new orleans rap']",37.0,Solo
14,It's Been Awhile,Staind,2001,alternative metal,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock', 'rock']",63.0,Solo
15,U Remind Me,Usher,2001,atl hip hop,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",71.0,Solo
16,Where the Party At,Jagged Edge,2001,atl hip hop,"['atl hip hop', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']",,
16,Where the Party At,Nelly,2001,dance pop,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",,
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",51.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",32.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",49.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",39.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",65.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",51.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",59.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",48.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",24.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",25.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",11.0,Solo
17,Angel,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",70.0,Collaboration
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],51.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],32.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],49.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],39.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],65.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],51.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],59.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],48.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],24.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],25.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],11.0,Solo
17,Angel,Rayvon,2001,reggae fusion,['reggae fusion'],70.0,Collaboration
18,Ride wit Me,Nelly,2001,dance pop,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",,
18,Ride wit Me,City Spud,2001,-,[],,
19,Follow Me,Uncle Kracker,2001,contemporary country,"['contemporary country', 'country', 'country road', 'pop rock', 'post-grunge']",71.0,Solo
19,Follow Me,Uncle Kracker,2001,contemporary country,"['contemporary country', 'country', 'country road', 'pop rock', 'post-grunge']",8.0,Solo
20,Peaches & Cream,112,2001,atl hip hop,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip hop', 'hip pop', 'new jack swing', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",,
